0	PHI
1	INLINEASM
2	PROLOG_LABEL
3	EH_LABEL
4	GC_LABEL
5	KILL
6	EXTRACT_SUBREG
7	INSERT_SUBREG
8	IMPLICIT_DEF
9	SUBREG_TO_REG
A	COPY_TO_REGCLASS
B	DBG_VALUE
C	REG_SEQUENCE
D	COPY
E	BUNDLE
F	LIFETIME_START
10	LIFETIME_END
11	STACKMAP
12	PATCHPOINT
13	ADDCCCi32ri
14	ADDCCCi32rr
15	ADDCCi32ri
16	ADDCCi32rr
17	ADD_i1_ri
18	ADD_i1_rr
19	ADDi16ri
1A	ADDi16rr
1B	ADDi32ri
1C	ADDi32rr
1D	ADDi64ri
1E	ADDi64rr
1F	ANDb16ri
20	ANDb16rr
21	ANDb1ri
22	ANDb1rr
23	ANDb32ri
24	ANDb32rr
25	ANDb64ri
26	ANDb64rr
27	BFE_S32rii
28	BFE_S32rri
29	BFE_S32rrr
2A	BFE_S64rii
2B	BFE_S64rri
2C	BFE_S64rrr
2D	BFE_U32rii
2E	BFE_U32rri
2F	BFE_U32rrr
30	BFE_U64rii
31	BFE_U64rri
32	BFE_U64rrr
33	BFI32
34	BFI64
35	BITCONVERT_32_F2I
36	BITCONVERT_32_I2F
37	BITCONVERT_64_F2I
38	BITCONVERT_64_I2F
39	BMMA_M8N8K128_LD_AB
3A	BMMA_M8N8K128_LD_AB_64
3B	BMMA_M8N8K128_LD_C
3C	BMMA_M8N8K128_LD_C_64
3D	BMMA_M8N8K128_MMA
3E	BMMA_M8N8K128_ST_C
3F	BMMA_M8N8K128_ST_C_64
40	CALL
41	CALL_PROTOTYPE
42	CBranch
43	CBranchOther
44	CLZr32
45	CLZr64
46	COSF
47	CVT_INREG_s16_s8
48	CVT_INREG_s32_s16
49	CVT_INREG_s32_s8
4A	CVT_INREG_s64_s16
4B	CVT_INREG_s64_s32
4C	CVT_INREG_s64_s8
4D	CVT_f16_f16
4E	CVT_f16_f32
4F	CVT_f16_f64
50	CVT_f16_s16
51	CVT_f16_s32
52	CVT_f16_s64
53	CVT_f16_s8
54	CVT_f16_u16
55	CVT_f16_u32
56	CVT_f16_u64
57	CVT_f16_u8
58	CVT_f32_f16
59	CVT_f32_f32
5A	CVT_f32_f64
5B	CVT_f32_s16
5C	CVT_f32_s32
5D	CVT_f32_s64
5E	CVT_f32_s8
5F	CVT_f32_u16
60	CVT_f32_u32
61	CVT_f32_u64
62	CVT_f32_u8
63	CVT_f64_f16
64	CVT_f64_f32
65	CVT_f64_f64
66	CVT_f64_s16
67	CVT_f64_s32
68	CVT_f64_s64
69	CVT_f64_s8
6A	CVT_f64_u16
6B	CVT_f64_u32
6C	CVT_f64_u64
6D	CVT_f64_u8
6E	CVT_s16_f16
6F	CVT_s16_f32
70	CVT_s16_f64
71	CVT_s16_s16
72	CVT_s16_s32
73	CVT_s16_s64
74	CVT_s16_s8
75	CVT_s16_u16
76	CVT_s16_u32
77	CVT_s16_u64
78	CVT_s16_u8
79	CVT_s32_f16
7A	CVT_s32_f32
7B	CVT_s32_f64
7C	CVT_s32_s16
7D	CVT_s32_s32
7E	CVT_s32_s64
7F	CVT_s32_s8
80	CVT_s32_u16
81	CVT_s32_u32
82	CVT_s32_u64
83	CVT_s32_u8
84	CVT_s64_f16
85	CVT_s64_f32
86	CVT_s64_f64
87	CVT_s64_s16
88	CVT_s64_s32
89	CVT_s64_s64
8A	CVT_s64_s8
8B	CVT_s64_u16
8C	CVT_s64_u32
8D	CVT_s64_u64
8E	CVT_s64_u8
8F	CVT_s8_f16
90	CVT_s8_f32
91	CVT_s8_f64
92	CVT_s8_s16
93	CVT_s8_s32
94	CVT_s8_s64
95	CVT_s8_s8
96	CVT_s8_u16
97	CVT_s8_u32
98	CVT_s8_u64
99	CVT_s8_u8
9A	CVT_u16_f16
9B	CVT_u16_f32
9C	CVT_u16_f64
9D	CVT_u16_s16
9E	CVT_u16_s32
9F	CVT_u16_s64
A0	CVT_u16_s8
A1	CVT_u16_u16
A2	CVT_u16_u32
A3	CVT_u16_u64
A4	CVT_u16_u8
A5	CVT_u32_f16
A6	CVT_u32_f32
A7	CVT_u32_f64
A8	CVT_u32_s16
A9	CVT_u32_s32
AA	CVT_u32_s64
AB	CVT_u32_s8
AC	CVT_u32_u16
AD	CVT_u32_u32
AE	CVT_u32_u64
AF	CVT_u32_u8
B0	CVT_u64_f16
B1	CVT_u64_f32
B2	CVT_u64_f64
B3	CVT_u64_s16
B4	CVT_u64_s32
B5	CVT_u64_s64
B6	CVT_u64_s8
B7	CVT_u64_u16
B8	CVT_u64_u32
B9	CVT_u64_u64
BA	CVT_u64_u8
BB	CVT_u8_f16
BC	CVT_u8_f32
BD	CVT_u8_f64
BE	CVT_u8_s16
BF	CVT_u8_s32
C0	CVT_u8_s64
C1	CVT_u8_s8
C2	CVT_u8_u16
C3	CVT_u8_u32
C4	CVT_u8_u64
C5	CVT_u8_u8
C6	CallArgBeginInst
C7	CallArgEndInst0
C8	CallArgEndInst1
C9	CallArgF32
CA	CallArgF64
CB	CallArgI16
CC	CallArgI32
CD	CallArgI32imm
CE	CallArgI64
CF	CallArgParam
D0	CallVoidInst
D1	CallVoidInstReg
D2	CallVoidInstReg64
D3	Callseq_End
D4	Callseq_Start
D5	DP2A_hi_s32_s32
D6	DP2A_hi_s32_u32
D7	DP2A_hi_u32_s32
D8	DP2A_hi_u32_u32
D9	DP2A_lo_s32_s32
DA	DP2A_lo_s32_u32
DB	DP2A_lo_u32_s32
DC	DP2A_lo_u32_u32
DD	DP4A_s32_s32
DE	DP4A_s32_u32
DF	DP4A_u32_s32
E0	DP4A_u32_u32
E1	DeclareParamInst
E2	DeclareRetMemInst
E3	DeclareRetRegInst
E4	DeclareRetScalarInst
E5	DeclareScalarParamInst
E6	DeclareScalarRegInst
E7	F64toV2F32
E8	FABSf32
E9	FABSf32_ftz
EA	FABSf64
EB	FADD_rnf32ri
EC	FADD_rnf32ri_ftz
ED	FADD_rnf32rr
EE	FADD_rnf32rr_ftz
EF	FADD_rnf64ri
