0	not_intrinsic
1	llvm.adjust.trampoline
2	llvm.annotation
3	llvm.bitreverse
4	llvm.bswap
5	llvm.ceil
6	llvm.convert.from.fp16
7	llvm.convert.from.fp16.f32
8	llvm.convert.to.fp16
9	llvm.convert.to.fp16.f32
A	llvm.convertff
B	llvm.convertfsi
C	llvm.convertfui
D	llvm.convertsif
E	llvm.convertss
F	llvm.convertsu
10	llvm.convertuif
11	llvm.convertus
12	llvm.convertuu
13	llvm.copysign
14	llvm.cos
15	llvm.ctlz
16	llvm.ctpop
17	llvm.cttz
18	llvm.cuda.syncthreads
19	llvm.dbg.declare
1A	llvm.dbg.value
1B	llvm.debugtrap
1C	llvm.donothing
1D	llvm.eh.dwarf.cfa
1E	llvm.eh.return.i32
1F	llvm.eh.return.i64
20	llvm.eh.sjlj.callsite
21	llvm.eh.sjlj.functioncontext
22	llvm.eh.sjlj.longjmp
23	llvm.eh.sjlj.lsda
24	llvm.eh.sjlj.setjmp
25	llvm.eh.typeid.for
26	llvm.eh.unwind.init
27	llvm.exp
28	llvm.exp2
29	llvm.expect
2A	llvm.experimental.patchpoint.i64
2B	llvm.experimental.patchpoint.void
2C	llvm.experimental.stackmap
2D	llvm.fabs
2E	llvm.floor
2F	llvm.flt.rounds
30	llvm.fma
31	llvm.fmuladd
32	llvm.frameaddress
33	llvm.gcread
34	llvm.gcroot
35	llvm.gcwrite
36	llvm.init.trampoline
37	llvm.invariant.end
38	llvm.invariant.start
39	llvm.lifetime.end
3A	llvm.lifetime.start
3B	llvm.log
3C	llvm.log10
3D	llvm.log2
3E	llvm.longjmp
3F	llvm.memcpy
40	llvm.memmove
41	llvm.memset
42	llvm.nearbyint
43	llvm.nvvm.abs
44	llvm.nvvm.abs.i
45	llvm.nvvm.abs.ll
46	llvm.nvvm.add
47	llvm.nvvm.add.ftz.f32
48	llvm.nvvm.add.rm.d
49	llvm.nvvm.add.rm.f
4A	llvm.nvvm.add.rm.ftz.f
4B	llvm.nvvm.add.rn.d
4C	llvm.nvvm.add.rn.f
4D	llvm.nvvm.add.rn.ftz.f
4E	llvm.nvvm.add.rp.d
4F	llvm.nvvm.add.rp.f
50	llvm.nvvm.add.rp.ftz.f
51	llvm.nvvm.add.rz.d
52	llvm.nvvm.add.rz.f
53	llvm.nvvm.add.rz.ftz.f
54	llvm.nvvm.add.sat.s
55	llvm.nvvm.add.sat.u
56	llvm.nvvm.add.u.i128
57	llvm.nvvm.addr.of.param
58	llvm.nvvm.atomic.cas.i16
59	llvm.nvvm.atomic.cas.i32
5A	llvm.nvvm.atomic.cas.i64
5B	llvm.nvvm.atomic.load.add.f32
5C	llvm.nvvm.atomic.load.add.f64
5D	llvm.nvvm.atomic.load.dec.32
5E	llvm.nvvm.atomic.load.inc.32
5F	llvm.nvvm.atomic.rmw.f16x2
60	llvm.nvvm.atomic.rmw.f32
61	llvm.nvvm.atomic.rmw.f64
62	llvm.nvvm.atomic.rmw.i32
63	llvm.nvvm.atomic.rmw.i64
64	llvm.nvvm.bar.sync.all
65	llvm.nvvm.bar.sync.all.cnt
66	llvm.nvvm.bar.warp.sync
67	llvm.nvvm.barrier
68	llvm.nvvm.barrier0
69	llvm.nvvm.barrier0.and
6A	llvm.nvvm.barrier0.or
6B	llvm.nvvm.barrier0.popc
6C	llvm.nvvm.barrier.red
6D	llvm.nvvm.barrier.sync
6E	llvm.nvvm.barrier.sync.cnt
6F	llvm.nvvm.bfe.s.i32
70	llvm.nvvm.bfe.u.i32
71	llvm.nvvm.bfi.i32
72	llvm.nvvm.bitcast.d2ll
73	llvm.nvvm.bitcast.f2i
74	llvm.nvvm.bitcast.i2f
75	llvm.nvvm.bitcast.ll2d
76	llvm.nvvm.bmma.m8n8k128.ld.a.b1
77	llvm.nvvm.bmma.m8n8k128.ld.b.b1
78	llvm.nvvm.bmma.m8n8k128.ld.c
79	llvm.nvvm.bmma.m8n8k128.mma.xor.popc.b1
7A	llvm.nvvm.bmma.m8n8k128.st.c.i32
7B	llvm.nvvm.brev32
7C	llvm.nvvm.brev64
7D	llvm.nvvm.cache.control
7E	llvm.nvvm.ceil.d
7F	llvm.nvvm.ceil.f
80	llvm.nvvm.ceil.ftz.f
81	llvm.nvvm.clz.i
82	llvm.nvvm.clz.ll
83	llvm.nvvm.compiler.error
84	llvm.nvvm.compiler.warn
85	llvm.nvvm.cos.approx
86	llvm.nvvm.cos.approx.f
87	llvm.nvvm.cos.approx.ftz.f
88	llvm.nvvm.cos.approx.ftz.f32
89	llvm.nvvm.coverage.location
8A	llvm.nvvm.custom.abi.call
8B	llvm.nvvm.cvt
8C	llvm.nvvm.d2f.rm
8D	llvm.nvvm.d2f.rm.ftz
8E	llvm.nvvm.d2f.rn
8F	llvm.nvvm.d2f.rn.ftz
90	llvm.nvvm.d2f.rp
91	llvm.nvvm.d2f.rp.ftz
92	llvm.nvvm.d2f.rz
93	llvm.nvvm.d2f.rz.ftz
94	llvm.nvvm.d2i.hi
95	llvm.nvvm.d2i.lo
96	llvm.nvvm.d2i.rm
97	llvm.nvvm.d2i.rn
98	llvm.nvvm.d2i.rp
99	llvm.nvvm.d2i.rz
9A	llvm.nvvm.d2ll.rm
9B	llvm.nvvm.d2ll.rn
9C	llvm.nvvm.d2ll.rp
9D	llvm.nvvm.d2ll.rz
9E	llvm.nvvm.d2ui.rm
9F	llvm.nvvm.d2ui.rn
A0	llvm.nvvm.d2ui.rp
A1	llvm.nvvm.d2ui.rz
A2	llvm.nvvm.d2ull.rm
A3	llvm.nvvm.d2ull.rn
A4	llvm.nvvm.d2ull.rp
A5	llvm.nvvm.d2ull.rz
A6	llvm.nvvm.dfdx.coarse
A7	llvm.nvvm.dfdx.fine
A8	llvm.nvvm.dfdy.coarse
A9	llvm.nvvm.dfdy.fine
AA	llvm.nvvm.discard.fragment
AB	llvm.nvvm.div
AC	llvm.nvvm.div.approx.f
AD	llvm.nvvm.div.approx.f32
AE	llvm.nvvm.div.approx.ftz.f
AF	llvm.nvvm.div.approx.ftz.f32
B0	llvm.nvvm.div.ftz.f32
B1	llvm.nvvm.div.full.f32
B2	llvm.nvvm.div.full.ftz.f32
B3	llvm.nvvm.div.rm.d
B4	llvm.nvvm.div.rm.f
B5	llvm.nvvm.div.rm.ftz.f
B6	llvm.nvvm.div.rn.d
B7	llvm.nvvm.div.rn.f
B8	llvm.nvvm.div.rn.ftz.f
B9	llvm.nvvm.div.rp.d
BA	llvm.nvvm.div.rp.f
BB	llvm.nvvm.div.rp.ftz.f
BC	llvm.nvvm.div.rz.d
BD	llvm.nvvm.div.rz.f
BE	llvm.nvvm.div.rz.ftz.f
BF	llvm.nvvm.ex2.approx
C0	llvm.nvvm.ex2.approx.d
C1	llvm.nvvm.ex2.approx.f
C2	llvm.nvvm.ex2.approx.ftz.f
C3	llvm.nvvm.ex2.approx.ftz.f32
C4	llvm.nvvm.exit
C5	llvm.nvvm.f2h.rn
C6	llvm.nvvm.f2h.rn.ftz
C7	llvm.nvvm.f2i.rm
C8	llvm.nvvm.f2i.rm.ftz
C9	llvm.nvvm.f2i.rn
CA	llvm.nvvm.f2i.rn.ftz
CB	llvm.nvvm.f2i.rp
CC	llvm.nvvm.f2i.rp.ftz
CD	llvm.nvvm.f2i.rz
CE	llvm.nvvm.f2i.rz.ftz
CF	llvm.nvvm.f2ll.rm
D0	llvm.nvvm.f2ll.rm.ftz
D1	llvm.nvvm.f2ll.rn
D2	llvm.nvvm.f2ll.rn.ftz
D3	llvm.nvvm.f2ll.rp
D4	llvm.nvvm.f2ll.rp.ftz
D5	llvm.nvvm.f2ll.rz
D6	llvm.nvvm.f2ll.rz.ftz
D7	llvm.nvvm.f2ui.rm
D8	llvm.nvvm.f2ui.rm.ftz
D9	llvm.nvvm.f2ui.rn
DA	llvm.nvvm.f2ui.rn.ftz
DB	llvm.nvvm.f2ui.rp
DC	llvm.nvvm.f2ui.rp.ftz
DD	llvm.nvvm.f2ui.rz
DE	llvm.nvvm.f2ui.rz.ftz
DF	llvm.nvvm.f2ull.rm
E0	llvm.nvvm.f2ull.rm.ftz
E1	llvm.nvvm.f2ull.rn
E2	llvm.nvvm.f2ull.rn.ftz
E3	llvm.nvvm.f2ull.rp
E4	llvm.nvvm.f2ull.rp.ftz
E5	llvm.nvvm.f2ull.rz
E6	llvm.nvvm.f2ull.rz.ftz
E7	llvm.nvvm.fabs
E8	llvm.nvvm.fabs.d
E9	llvm.nvvm.fabs.f
EA	llvm.nvvm.fabs.ftz.f
EB	llvm.nvvm.fabs.ftz.f32
EC	llvm.nvvm.fchk
ED	llvm.nvvm.flo.s
EE	llvm.nvvm.flo.u
EF	llvm.nvvm.floor.d
F0	llvm.nvvm.floor.f
F1	llvm.nvvm.floor.ftz.f
F2	llvm.nvvm.fma
F3	llvm.nvvm.fma.ftz.f32
F4	llvm.nvvm.fma.rm.d
F5	llvm.nvvm.fma.rm.f
F6	llvm.nvvm.fma.rm.ftz.f
F7	llvm.nvvm.fma.rn.d
F8	llvm.nvvm.fma.rn.f
F9	llvm.nvvm.fma.rn.ftz.f
FA	llvm.nvvm.fma.rp.d
FB	llvm.nvvm.fma.rp.f
FC	llvm.nvvm.fma.rp.ftz.f
FD	llvm.nvvm.fma.rz.d
FE	llvm.nvvm.fma.rz.f
FF	llvm.nvvm.fma.rz.ftz.f
100	llvm.nvvm.fmax
101	llvm.nvvm.fmax.d
102	llvm.nvvm.fmax.f
103	llvm.nvvm.fmax.ftz.f
104	llvm.nvvm.fmax.ftz.f32
105	llvm.nvvm.fmin
106	llvm.nvvm.fmin.d
107	llvm.nvvm.fmin.f
108	llvm.nvvm.fmin.ftz.f
109	llvm.nvvm.fmin.ftz.f32
10A	llvm.nvvm.fns
10B	llvm.nvvm.full.custom.abi.call
10C	llvm.nvvm.geometry.out
10D	llvm.nvvm.get.cbank.pointer
10E	llvm.nvvm.h2f
10F	llvm.nvvm.hmma.m16n16k16.ld.a
110	llvm.nvvm.hmma.m16n16k16.ld.b
111	llvm.nvvm.hmma.m16n16k16.ld.c.f16
112	llvm.nvvm.hmma.m16n16k16.ld.c.f32
113	llvm.nvvm.hmma.m16n16k16.mma.f16.f16
114	llvm.nvvm.hmma.m16n16k16.mma.f16.f32
115	llvm.nvvm.hmma.m16n16k16.mma.f32.f16
116	llvm.nvvm.hmma.m16n16k16.mma.f32.f32
117	llvm.nvvm.hmma.m16n16k16.st.c.f16
118	llvm.nvvm.hmma.m16n16k16.st.c.f32
119	llvm.nvvm.hmma.m32n8k16.ld.a
11A	llvm.nvvm.hmma.m32n8k16.ld.b
11B	llvm.nvvm.hmma.m32n8k16.ld.c.f16
11C	llvm.nvvm.hmma.m32n8k16.ld.c.f32
11D	llvm.nvvm.hmma.m32n8k16.mma.f16.f16
11E	llvm.nvvm.hmma.m32n8k16.mma.f16.f32
11F	llvm.nvvm.hmma.m32n8k16.mma.f32.f16
120	llvm.nvvm.hmma.m32n8k16.mma.f32.f32
121	llvm.nvvm.hmma.m32n8k16.st.c.f16
122	llvm.nvvm.hmma.m32n8k16.st.c.f32
123	llvm.nvvm.hmma.m8n32k16.ld.a
124	llvm.nvvm.hmma.m8n32k16.ld.b
125	llvm.nvvm.hmma.m8n32k16.ld.c.f16
126	llvm.nvvm.hmma.m8n32k16.ld.c.f32
127	llvm.nvvm.hmma.m8n32k16.mma.f16.f16
128	llvm.nvvm.hmma.m8n32k16.mma.f16.f32
129	llvm.nvvm.hmma.m8n32k16.mma.f32.f16
12A	llvm.nvvm.hmma.m8n32k16.mma.f32.f32
12B	llvm.nvvm.hmma.m8n32k16.st.c.f16
12C	llvm.nvvm.hmma.m8n32k16.st.c.f32
12D	llvm.nvvm.i2d.rm
12E	llvm.nvvm.i2d.rn
12F	llvm.nvvm.i2d.rp
130	llvm.nvvm.i2d.rz
131	llvm.nvvm.i2f.rm
132	llvm.nvvm.i2f.rn
133	llvm.nvvm.i2f.rp
134	llvm.nvvm.i2f.rz
135	llvm.nvvm.idp2a
136	llvm.nvvm.idp4a
137	llvm.nvvm.imma.m16n16k16.ld.a.s8
138	llvm.nvvm.imma.m16n16k16.ld.a.u8
139	llvm.nvvm.imma.m16n16k16.ld.b.s8
13A	llvm.nvvm.imma.m16n16k16.ld.b.u8
13B	llvm.nvvm.imma.m16n16k16.ld.c
13C	llvm.nvvm.imma.m16n16k16.mma.s8
13D	llvm.nvvm.imma.m16n16k16.mma.u8
13E	llvm.nvvm.imma.m16n16k16.st.c.i32
13F	llvm.nvvm.imma.m32n8k16.ld.a.s8
140	llvm.nvvm.imma.m32n8k16.ld.a.u8
141	llvm.nvvm.imma.m32n8k16.ld.b.s8
142	llvm.nvvm.imma.m32n8k16.ld.b.u8
143	llvm.nvvm.imma.m32n8k16.ld.c
144	llvm.nvvm.imma.m32n8k16.mma.s8
145	llvm.nvvm.imma.m32n8k16.mma.u8
146	llvm.nvvm.imma.m32n8k16.st.c.i32
147	llvm.nvvm.imma.m8n32k16.ld.a.s8
148	llvm.nvvm.imma.m8n32k16.ld.a.u8
149	llvm.nvvm.imma.m8n32k16.ld.b.s8
14A	llvm.nvvm.imma.m8n32k16.ld.b.u8
14B	llvm.nvvm.imma.m8n32k16.ld.c
14C	llvm.nvvm.imma.m8n32k16.mma.s8
14D	llvm.nvvm.imma.m8n32k16.mma.u8
14E	llvm.nvvm.imma.m8n32k16.st.c.i32
14F	llvm.nvvm.imma.m8n8k32.ld.a.s4
150	llvm.nvvm.imma.m8n8k32.ld.a.u4
151	llvm.nvvm.imma.m8n8k32.ld.b.s4
152	llvm.nvvm.imma.m8n8k32.ld.b.u4
153	llvm.nvvm.imma.m8n8k32.ld.c
154	llvm.nvvm.imma.m8n8k32.mma.s4
155	llvm.nvvm.imma.m8n8k32.mma.u4
156	llvm.nvvm.imma.m8n8k32.st.c.i32
157	llvm.nvvm.internal.printf.cl
158	llvm.nvvm.isspacep.const
159	llvm.nvvm.isspacep.global
15A	llvm.nvvm.isspacep.local
15B	llvm.nvvm.isspacep.shared
15C	llvm.nvvm.istypep.sampler
15D	llvm.nvvm.istypep.surface
15E	llvm.nvvm.istypep.texture
15F	llvm.nvvm.ldg.global.f
160	llvm.nvvm.ldg.global.i
161	llvm.nvvm.ldg.global.p
162	llvm.nvvm.ldg.readonly.boundscheck
163	llvm.nvvm.ldu.global.f
164	llvm.nvvm.ldu.global.i
165	llvm.nvvm.ldu.global.p
166	llvm.nvvm.lg2.approx
167	llvm.nvvm.lg2.approx.d
168	llvm.nvvm.lg2.approx.f
169	llvm.nvvm.lg2.approx.ftz.f
16A	llvm.nvvm.lg2.approx.ftz.f32
16B	llvm.nvvm.ll2d.rm
16C	llvm.nvvm.ll2d.rn
16D	llvm.nvvm.ll2d.rp
16E	llvm.nvvm.ll2d.rz
