0	unknown error
1	last line of file ends without a newline
2	last line of file ends with a backslash
3	#include file %sq includes itself
4	out of memory
5	
6	comment unclosed at end of file
7	unrecognized token
8	missing closing quote
9	nested comment is not allowed
A	"#" not expected here
B	unrecognized preprocessing directive
C	parsing restarts here after previous syntax error
D	expected a file name
E	extra text after expected end of preprocessing directive
F	
10	
11	expected a "]"
12	expected a ")"
13	extra text after expected end of number
14	identifier %sq is undefined
15	type qualifiers are meaningless in this declaration
16	invalid hexadecimal number
17	integer constant is too large
18	invalid octal digit
19	quoted string should contain at least one character
1A	too many characters in character constant
1B	character value is out of range
1C	expression must have a constant value
1D	expected an expression
1E	floating constant is out of range
1F	expression must have integral type
20	expression must have arithmetic type
21	expected a line number
22	invalid line number
23	#error directive: %s
24	the #if for this directive is missing
25	the #endif for this directive is missing
26	directive is not allowed -- an #else has already appeared
27	division by zero
28	expected an identifier
29	expression must have arithmetic or pointer type
2A	operand types are incompatible (%t1 and %t2)
2B	
2C	expression must have pointer type
2D	#undef may not be used on this predefined name
2E	%no is predefined; attempted redefinition ignored
2F	incompatible redefinition of macro %nod
30	
31	duplicate macro parameter name
32	"##" may not be first in a macro definition
33	"##" may not be last in a macro definition
34	expected a macro parameter name
35	expected a ":"
36	too few arguments in invocation of %n
37	too many arguments in invocation of %n
38	operand of sizeof may not be a function
39	this operator is not allowed in a constant expression
3A	this operator is not allowed in a preprocessing expression
3B	function call is not allowed in a constant expression
3C	this operator is not allowed in an integral constant expression
3D	integer operation result is out of range
3E	shift count is negative
3F	shift count is too large
40	declaration does not declare anything
41	expected a ";"
42	enumeration value is out of "int" range
43	expected a "}"
44	integer conversion resulted in a change of sign
45	integer conversion resulted in truncation
46	incomplete type %t is not allowed
47	operand of sizeof may not be a bit field
48	
49	
4A	
4B	operand of "*" must be a pointer but has type %t
4C	argument to macro is empty
4D	this declaration has no storage class or type specifier
4E	a parameter declaration may not have an initializer
4F	expected a type specifier
50	a storage class may not be specified here
51	more than one storage class may not be specified
52	storage class is not first
53	type qualifier specified more than once
54	invalid combination of type specifiers
55	invalid storage class for a parameter
56	invalid storage class for a function
57	a type specifier may not be used here
58	array of functions is not allowed
59	array of void is not allowed
5A	function returning function is not allowed
5B	function returning array is not allowed
5C	identifier-list parameters may only be used in a function definition
5D	function type may not come from a typedef
5E	the size of an array must be greater than zero
5F	array is too large
60	a translation unit must contain at least one declaration
61	a function may not return a value of this type
62	an array may not have elements of this type
63	a declaration here must declare a parameter
64	duplicate parameter name
65	%sq has already been declared in the current scope
66	forward declaration of enum type is nonstandard
67	class is too large
68	struct or union is too large
69	invalid size for bit field
6A	invalid type for a bit field
6B	zero-length bit field must be unnamed
6C	signed bit field of length 1
6D	expression preceding parentheses of apparent call must have (pointer-to-) function type
6E	expected either a definition or a tag name
6F	statement is unreachable
70	expected "while"
71	
72	%n was referenced but not defined
73	a continue statement may only be used within a loop
74	a break statement may only be used within a loop or switch
75	non-void %n should return a value
76	a void function may not return a value
77	cast to type %t is not allowed
78	return value type does not match the function type
79	a case label may only be used within a switch
7A	a default label may only be used within a switch
7B	
7C	default label has already appeared in this switch
7D	expected a "("
7E	expression must be an lvalue
7F	expected a statement
80	loop is not reachable
81	a block-scope function may only have extern storage class
82	expected a "{"
83	expression must have pointer-to-class type but it has type %t
84	expression must have pointer-to-struct-or-union type but it has type %t
85	expected a member name
86	expected a field name
87	%n has no member %sq
88	%n has no field %sq
89	expression must be a modifiable lvalue
8A	taking the address of a register variable is not allowed
8B	taking the address of a bit field is not allowed
8C	too many arguments in function call
8D	unnamed prototyped parameters not allowed when body is present
8E	expression must have pointer-to-object type but it has type %t
8F	program too large or complicated to compile
90	a value of type %t1 cannot be used to initialize an entity of type %t2
91	%n may not be initialized
92	too many initializer values
93	declaration is incompatible with %nfd
94	%n has already been initialized
95	a global-scope declaration may not have this storage class
96	a type name may not be redeclared as a parameter
97	a typedef name may not be redeclared as a parameter
98	conversion of nonzero integer to pointer
99	expression must have class type but it has type %t
9A	expression must have struct or union type but it has type %t
9B	old-fashioned assignment operator
9C	old-fashioned initializer
9D	expression must be an integral constant expression
9E	expression must be an lvalue or a function designator
9F	declaration is incompatible with previous %nod
A0	external name conflicts with external name of %nd
A1	unrecognized #pragma
A2	
A3	could not open temporary file %sq: %s2
A4	name of directory for temporary files is too long (%sq)
A5	too few arguments in function call
A6	invalid floating constant
A7	argument of type %t1 is incompatible with parameter of type %t2
A8	a function type is not allowed here
A9	expected a declaration
AA	pointer points outside of underlying object
AB	invalid type conversion
AC	external/internal linkage conflict with previous declaration %p
AD	floating-point value does not fit in required integral type
AE	expression has no effect
AF	subscript out of range
B0	
B1	%n was declared but never referenced
B2	"&" applied to an array has no effect
B3	right operand of "%%" is zero
B4	argument is incompatible with formal parameter
B5	argument is incompatible with corresponding format string conversion (expected type %t1 but argument has type %t2)
B6	could not open source file %sq (no directories in search list)
B7	type of cast must be integral
B8	type of cast must be arithmetic or pointer
B9	dynamic initialization in unreachable code
BA	pointless comparison of unsigned integer with zero
BB	use of "=" where "==" may have been intended
BC	enumerated type mixed with another type
BD	error while writing %s file
BE	invalid intermediate language file
BF	type qualifier is meaningless on cast type
C0	unrecognized character escape sequence
C1	zero used for undefined preprocessing identifier %sq
C2	expected an asm string
C3	an asm function must be prototyped
C4	an asm function may not have an ellipsis
C5	
C6	
C7	
C8	
C9	
CA	
CB	
CC	
CD	
CE	
CF	
D0	
D1	
D2	
D3	
D4	
D5	
D6	
D7	
D8	
D9	
DA	
DB	error while deleting file %sq: %s2
DC	integral value does not fit in required floating-point type
DD	floating-point value does not fit in required floating-point type
DE	floating-point operation result is out of range
DF	function %sq declared implicitly
E0	the format string requires additional arguments
E1	the format string ends before this argument
E2	invalid format string conversion
E3	macro recursion
E4	trailing comma is nonstandard
