0	EA8	128_bit_float_needs_flag
1	E7E	128_bit_integer_needs_flag
2	95A	3rd_arg_of_assume_aligned_must_be_integral
3	EA1	C_constraint_expression_not_address_of_variable
4	E9C	C_constraint_folding_failure
5	EA0	C_constraint_incorrect_class_static_variable_no_init
6	E9F	C_constraint_incorrect_variable_initialization
7	E9E	C_constraint_incorrect_variable_storage_duration
8	E9D	C_constraint_incorrect_variable_type
9	E9A	C_constraint_is_device_only
A	E9B	C_constraint_no_modifiers
B	68E	ELF_visibility_pop_mismatch
C	68F	ELF_visibility_stack_empty
D	3C7	UCN_names_basic_char
E	8A7	UCN_names_invalid_code_point
F	67D	UCN_names_surrogate_code_point
10	3C9	VA_ARGS_not_allowed
11	B7B	VA_OPT_not_allowed
12	A58	abi_tag_ignored
13	A56	abi_tag_ignored_in_C_mode
14	A5B	abi_tag_ignored_on_specialization
15	A57	abi_tag_redefinition
16	9DE	absolute_file_name_in_has_include_next
17	3DB	abstract_class_catch_type
18	142	abstract_class_object_not_allowed
19	25B	abstract_class_param_type
1A	835	abstract_declarator_pack_is_nested
1B	63D	abstract_or_sealed_on_union
1C	80C	abstract_requires_virtual
1D	F2	access_already_specified
1E	657	access_prevents_dtor_generation
1F	667	access_suppresses_copy_asgn_decl
20	66A	access_suppresses_copy_ctor_decl
21	ADB	access_to_member_of_c11_atomic_object
22	1A8	addr_of_constructor_or_destructor
23	DE5	addr_of_label_in_device_func
24	DE2	addr_of_nv_builtin_var
25	7E5	addr_of_ref_class
26	DF5	addr_of_text_surf_expr_in_device_func
27	DF4	addr_of_text_surf_var_in_device_func
28	8B	address_of_bit_field
29	B76	address_of_consteval_function
2A	B90	address_of_consteval_function_leaked
2B	D7B	address_of_function_with_pass_object_size_attr
2C	89C	address_of_initonly_field
2D	874	address_of_managed_member_function
2E	B00	address_of_nontrue_enable_if_function
2F	8A	address_of_register_variable
30	CA5	address_of_unqualified_explicit_this_function
31	482	alias_cannot_have_definition
32	B48	alias_declaration_is_cpp11
33	615	alias_loop
34	CD4	alias_template_deduction_guide
35	B49	alias_template_is_cpp11
36	760	alias_used_in_type
37	481	aliased_name_bad_kind
38	480	aliased_name_undeclared
39	533	aliased_variable_cannot_have_register_storage_class
3A	B51	align_not_equivalent
3B	488	alignment_reduction_ignored
3C	99C	alignment_reduction_unconditionally_ignored
3D	B91	alignof_function_type
3E	B92	alignof_incomplete_array
3F	4F9	alignof_incomplete_type
40	D7C	all_arguments_must_have_same_type
41	8D	all_proto_params_must_be_named
42	E76	alloca_unsupported_for_lower_than_arch52
43	2DC	allocation_operator_in_namespace
44	F7	already_defined
45	D29	already_defined_with_pos
46	C84	already_in_consteval_context
47	94	already_initialized
48	9A9	always_inline_requires_inline
49	B3A	always_inline_suppressed
4A	9B7	ambig_literal_operator
4B	666	ambig_suppresses_copy_asgn_decl
4C	669	ambig_suppresses_copy_ctor_decl
4D	175	ambiguous_assignment_operator
4E	11E	ambiguous_base_class
4F	494	ambiguous_block_size_spec
50	BD3	ambiguous_c11_generic
51	BD4	ambiguous_c11_generic_previous_match
