1  EIATTR_PAD
2  EIATTR_IMAGE_SLOT
3  EIATTR_JUMPTABLE_RELOCS
4  EIATTR_CTAIDZ_USED
5  EIATTR_MAX_THREADS
6  EIATTR_IMAGE_OFFSET
7  EIATTR_IMAGE_SIZE
8  EIATTR_TEXTURE_NORMALIZED
9  EIATTR_SAMPLER_INIT
a  EIATTR_PARAM_CBANK
b  EIATTR_SMEM_PARAM_OFFSETS
c  EIATTR_CBANK_PARAM_OFFSETS
d  EIATTR_SYNC_STACK
e  EIATTR_TEXID_SAMPID_MAP
f  EIATTR_EXTERNS
10 EIATTR_REQNTID
11 EIATTR_FRAME_SIZE
12 EIATTR_MIN_STACK_SIZE
13 EIATTR_SAMPLER_FORCE_UNNORMALIZED
14 EIATTR_BINDLESS_IMAGE_OFFSETS
15 EIATTR_BINDLESS_TEXTURE_BANK
16 EIATTR_BINDLESS_SURFACE_BANK
17 EIATTR_KPARAM_INFO
18 EIATTR_SMEM_PARAM_SIZE
19 EIATTR_CBANK_PARAM_SIZE
1a EIATTR_QUERY_NUMATTRIB
1b EIATTR_MAXREG_COUNT
1c EIATTR_EXIT_INSTR_OFFSETS
1d EIATTR_S2RCTAID_INSTR_OFFSETS
1e EIATTR_CRS_STACK_SIZE
1f EIATTR_NEED_CNP_WRAPPER
20 EIATTR_NEED_CNP_PATCH
21 EIATTR_EXPLICIT_CACHING
22 EIATTR_ISTYPEP_USED
23 EIATTR_MAX_STACK_SIZE
24 EIATTR_SUQ_USED
25 EIATTR_LD_CACHEMOD_INSTR_OFFSETS
26 EIATTR_LOAD_CACHE_REQUEST
27 EIATTR_ATOM_SYS_INSTR_OFFSETS
28 EIATTR_COOP_GROUP_INSTR_OFFSETS
29 EIATTR_COOP_GROUP_MASK_REGIDS
2a EIATTR_SW1850030_WAR
2b EIATTR_WMMA_USED
2c EIATTR_HAS_PRE_V10_OBJECT
2d EIATTR_ATOMF16_EMUL_INSTR_OFFSETS
2e EIATTR_ATOM16_EMUL_INSTR_REG_MAP
2f EIATTR_REGCOUNT
30 EIATTR_SW2393858_WAR
31 EIATTR_INT_WARP_WIDE_INSTR_OFFSETS
32 EIATTR_SHARED_SCRATCH
33 EIATTR_STATISTICS
34 EIATTR_INDIRECT_BRANCH_TARGETS
35 EIATTR_SW2861232_WAR
36 EIATTR_SW_WAR
37 EIATTR_CUDA_API_VERSION
38 EIATTR_NUM_MBARRIERS
39 EIATTR_MBARRIER_INSTR_OFFSETS
3a EIATTR_COROUTINE_RESUME_ID_OFFSETS
3b EIATTR_SAM_REGION_STACK_SIZE
3c EIATTR_PER_REG_TARGET_PERF_STATS
3d EIATTR_CTA_PER_CLUSTER
3e EIATTR_EXPLICIT_CLUSTER
3f EIATTR_MAX_CLUSTER_RANK
40 EIATTR_INSTR_REG_MAP
41 EIATTR_RESERVED_SMEM_USED
42 EIATTR_RESERVED_SMEM_0_SIZE
43 EIATTR_UCODE_SECTION_DATA
44 EIATTR_UNUSED_LOAD_BYTE_OFFSET
45 EIATTR_KPARAM_INFO_V2
46 EIATTR_SYSCALL_OFFSETS
47 EIATTR_SW_WAR_MEMBAR_SYS_INSTR_OFFSETS
48 EIATTR_GRAPHICS_GLOBAL_CBANK
49 EIATTR_SHADER_TYPE
4a EIATTR_VRC_CTA_INIT_COUNT
4b EIATTR_TOOLS_PATCH_FUNC
4c EIATTR_NUM_BARRIERS
4d EIATTR_TEXMODE_INDEPENDENT
4e EIATTR_PERF_STATISTICS
4f EIATTR_AT_ENTRY_FRAGMENTS
50 EIATTR_SPARSE_MMA_MASK
51 EIATTR_TCGEN05_1CTA_USED
52 EIATTR_TCGEN05_2CTA_USED
53 EIATTR_GEN_ERRBAR_AT_EXIT
54 EIATTR_REG_RECONFIG
55 EIATTR_ANNOTATIONS
56 EIATTR_SANITIZE
57 EIATTR_STACK_CANARY_TRAP_OFFSETS
58 EIATTR_STUB_FUNCTION_KIND
59 EIATTR_LOCAL_CTA_ASYNC_STORE_OFFSETS
5a EIATTR_MERCURY_FINALIZER_OPTIONS
