11: XMAD
12: 4
0: ACQBULK
8: 7
10: ACQSHMINIT
18: 10
20: AL2P
28: 4
30: AL2P_INDEXED
38: 12
40: ALD
48: 3
50: ARRIVES
58: 7
60: AST
68: 3
70: ATOM
78: 4
80: ATOMG
88: 5
90: ATOMS
98: 5
A0: B2R
A8: 3
B0: BAR
B8: 3
C0: BAR.SYNC.DEFER_BLOCKING
C8: 23
D0: BGMMA
D8: 5
E0: BGMMA_GSB
E8: 9
F0: BITEXTRACT
F8: 10
100: BMMA
108: 4
110: BMMA.168128
118: 11
120: BMMA.168256
128: 11
130: BMMA.88128
138: 10
140: BMOV
148: 4
150: BMSK
158: 4
160: BPT
168: 3
170: BPT.DRAIN
178: 9
180: BPT.PAUSE
188: 9
190: BRA
198: 3
1A0: BRA_IMM
1A8: 7
1B0: BREAK
1B8: 5
1C0: BREV
1C8: 4
1D0: BRX
1D8: 3
1E0: BRXU
1E8: 4
1F0: BSSY
1F8: 4
200: BSYNC
208: 5
210: CALL
218: 4
220: CCTL
228: 4
230: CCTL.C
238: 6
240: CCTL.C.LDC
248: 10
250: CCTL.C.LDC.IVALL
258: 16
260: CCTL.E.LDC
268: 10
270: CCTL.I
278: 6
280: CCTL.LDCU
288: 9
290: CCTL.QFAULT
298: 11
2A0: CCTLL
2A8: 5
2B0: CCTLT
2B8: 5
2C0: CGAERRBAR
2C8: 9
2D0: CLMAD
2D8: 5
2E0: CREDUX
2E8: 6
2F0: CS2R
2F8: 4
300: CS2R.32
308: 7
310: CS2R.64
318: 7
320: CS2UR
328: 5
330: CSMTEST
338: 7
340: DADD
348: 4
350: DECOMPRESS
358: 10
360: DEPBAR
368: 6
370: DFMA
378: 4
380: DMMA
388: 4
390: DMMA.16816
398: 10
3A0: DMMA.1684
3A8: 9
3B0: DMMA.1688
3B8: 9
3C0: DMUL
3C8: 4
3D0: DPCPMTRIG
3D8: 9
3E0: DSETP
3E8: 5
3F0: ELECT
3F8: 5
400: ENDCOLLECTIVE
408: 13
410: ERRBAR
418: 6
420: EXIT
428: 4
430: F2F
438: 3
440: F2F (not F64)
448: 13
450: F2FP
458: 4
460: F2I
468: 3
470: F2I (not *64)
478: 13
480: F2IP
488: 4
490: FADD
498: 4
4A0: FADD2
4A8: 5
4B0: FADD32I
4B8: 7
4C0: FCHK
4C8: 4
4D0: FENCE.G
4D8: 7
4E0: FENCE.S
4E8: 7
4F0: FENCE.T
4F8: 7
500: FFMA
508: 4
510: FFMA2
518: 5
520: FFMA32I
528: 7
530: FHADD
538: 5
540: FHADD2
548: 6
550: FHFMA
558: 5
560: FHFMA2
568: 6
570: FHMUL2
578: 6
580: FLO
588: 3
590: FMNMX
598: 5
5A0: FMNMX3
5A8: 6
5B0: FMUL
5B8: 4
5C0: FMUL2
5C8: 5
5D0: FMUL32I
5D8: 7
5E0: FOOTPRINT
5E8: 9
5F0: FRND
5F8: 4
600: FRND (not F64)
608: 14
610: FSEL
618: 4
620: FSET
628: 4
630: FSETP
638: 5
640: FSWZADD
648: 7
650: GATHER
658: 6
660: GENMETADATA
668: 11
670: GETLMEMBASE
