0	OriCheckInitialProgram
1	ApplyNvOptRecipes
2	PromoteFP16
3	AnalyzeControlFlow
4	AdvancedPhaseBeforeConvUnSup
5	ConvertUnsupportedOps
6	SetControlFlowOpLastInBB
7	AdvancedPhaseAfterConvUnSup
8	UpdateAfterConvertUnsupportedOps
9	OriCreateMacroInsts
A	ReportInitialRepresentation
B	EarlyOriSimpleLiveDead
C	ReplaceUniformsWithImm
D	OriSanitize
E	GeneralOptimizeEarly
F	MergeEquivalentConditionalFlow
10	DoSwitchOptFirst
11	OriBranchOpt
12	OriPerformLiveDeadFirst
13	OptimizeBindlessHeaderLoads
14	OriLoopSimplification
15	OriSplitLiveRanges
16	OriCopyProp
17	PerformPGO
18	OriStrengthReduce
19	OriLoopUnrolling
1A	GenerateMovPhi
1B	OriPipelining
1C	StageAndFence
1D	OriRemoveRedundantBarriers
1E	AnalyzeUniformsForSpeculation
1F	SinkRemat
20	OptimizeNaNOrZero
21	GeneralOptimize
22	DoSwitchOptSecond
23	OriLinearReplacement
24	CompactLocalMemory
25	ConvertMemoryToRegisterOrUniform
26	OriPerformLiveDeadSecond
27	ExtractShaderConstsFirst
28	OriHoistInvariantsEarly
29	Vectorization
2A	EmitPSI
2B	GeneralOptimizeMid
2C	OptimizeNestedCondBranches
2D	ConvertVTGReadWrite
2E	DoVirtualCTAExpansion
2F	MarkAdditionalColdBlocks
30	ExpandMbarrier
31	ForwardProgress
32	OptimizeUniformAtomic
33	MidExpansion
34	AdvancedPhaseAfterMidExpansion
35	GeneralOptimizeMid2
36	AdvancedPhaseEarlyEnforceArgs
37	EnforceArgumentRestrictions
38	GvnCse
39	OriCommoning
3A	OriReassociateAndCommon
3B	ExtractShaderConstsFinal
3C	OriReplaceEquivMultiDefMov
3D	OriPropagateVaryingFirst
3E	OriDoRematEarly
3F	LateExpansion
40	SpeculativeHoistComInsts
41	RemoveASTToDefaultValues
42	GeneralOptimizeLate
43	OriLoopFusion
44	DoVTGMultiViewExpansion
45	OriSimpleLiveDead
46	OriPerformLiveDeadThird
47	OriRemoveRedundantMultiDefMov
48	OriDoPredication
49	LateVectorization
4A	AdvancedPhaseLateLateCommoning
4B	LateOriCommoning
4C	GeneralOptimizeLate2
4D	OriHoistInvariantsLate
4E	SinkCodeIntoBlock
4F	DoKillMovement
50	DoTexMovement
51	OriDoRemat
52	OriPropagateVaryingSecond
53	OptimizeSyncInstructions
54	AdvancedPhaseLateExpandSyncInstructions
55	LateExpandSyncInstructions
56	ConvertAllMovPhiToMov
57	ConvertToUniformReg
58	LateArchOptimizeFirst
59	UpdateAfterOptimize
5A	AdvancedPhaseLateConvUnSup
5B	LateExpansionUnsupportedOps
5C	LateMergeEquivalentConditionalFlow
5D	OriHoistInvariantsLate2
5E	LateExpansionUnsupportedOpsMid
5F	ExpandJmxComputation
60	LateArchOptimizeSecond
61	AdvancedPhaseBackPropVReg
62	OriBackCopyPropagate
63	OriSplitHighPressureLiveRanges
64	OriPerformLiveDeadFourth
65	OriPropagateGmma
66	InsertPseudoUseDefForConvUR
67	FixupGmmaSequence
68	LateEnforceArgumentRestrictions
69	OriHoistInvariantsLate3
6A	AdvancedPhaseSetRegAttr
6B	OriSetRegisterAttr
6C	OriCalcDependantTex
6D	AdvancedPhaseAfterSetRegAttr
6E	LateExpansionUnsupportedOps2
6F	FinalInspectionPass
70	SetAfterLegalization
71	ReportBeforeScheduling
72	AdvancedPhasePreSched
73	ScheduleInstructions
74	UpdateAfterScheduleInstructions
75	BackPropagateVEC2D
76	OriDoSyncronization
77	UpdateAfterOriDoSyncronization
78	ApplyPostSyncronizationWars
79	ReportBeforeRegisterAllocation
7A	AdvancedPhaseAllocReg
7B	AllocateRegisters
7C	ReportAfterRegisterAllocation
7D	UpdateAfterOriAllocateRegisters
7E	Get64bRegComponents
7F	AdvancedPhasePostExpansion
80	PostExpansion
81	ApplyPostRegAllocWars
82	AdvancedPhasePostSched
83	OriRemoveNopCode
84	OptimizeHotColdInLoop
85	OptimizeHotColdFlow
86	PostSchedule
87	AdvancedPhasePostFixUp
88	PlaceBlocksInSourceOrder
89	PostFixForMercTargets
8A	FixUpTexDepBarAndSync
8B	AdvancedScoreboardsAndOpexes
8C	ProcessO0WaitsAndSBs
8D	PostFixUp
8E	MercConverter
8F	MercEncodeAndDecode
90	MercExpandInstructions
91	MercGenerateWARs1
92	MercGenerateOpex
93	MercGenerateWARs2
94	MercGenerateSassUCode
95	ComputeVCallRegUse
96	CalcRegisterMap
97	UpdateAfterPostRegAlloc
98	ReportFinalMemoryUsage
99	AdvancedPhaseOriPhaseEncoding
9A	FormatCodeList
9B	UpdateAfterFormatCodeList
9C	DumpNVuCodeText
9D	DumpNVuCodeHex
9E	DebuggerBreak
